#1
double data2(8760,2)   # comment line
  10670400           16
  10674000           16
  10677600           16
  10681200           16
  10684800           16
  10688400           16
  10692000           19
  10695600           19
  10699200           19
  10702800           19
  10706400           19
  10710000           19
  10713600           19
  10717200           19
  10720800           19
  10724400           19
  10728000           19
  10731600           19
  10735200           19
  10738800           19
  10742400           19
  10746000           19
  10749600           19
  10753200           19
  10756800           19
  10760400           19
  10764000           19
  10767600           19
  10771200           19
  10774800           19
  10778400           19
  10782000           19
  10785600           19
  10789200           19
  10792800           19
  10796400           19
  10800000           19
  10803600           19
  10807200           19
  10810800           19
  10814400           19
  10818000           19
  10821600           19
  10825200           19
  10828800           19
  10832400           19
  10836000           19
  10839600           19
  10843200           19
  10846800           19
  10850400           19
  10854000           19
  10857600           19
  10861200           19
  10864800           19
  10868400           19
  10872000           19
  10875600           19
  10879200           19
  10882800           19
  10886400           19
  10890000           19
  10893600           19
  10897200           19
  10900800           19
  10904400           19
  10908000           19
  10911600           19
  10915200           19
  10918800           19
  10922400           16
  10926000           16
  10929600           16
  10933200           16
  10936800           16
  10940400           16
  10944000           16
  10947600           16
  10951200           19
  10954800           19
  10958400           19
  10962000           19
  10965600           19
  10969200           19
  10972800           19
  10976400           19
  10980000           19
  10983600           19
  10987200           19
  10990800           19
  10994400           19
  10998000           19
  11001600           19
  11005200           19
  11008800           16
  11012400           16
  11016000           16
  11019600           16
  11023200           16
  11026800           16
  11030400           16
  11034000           16
  11037600           19
  11041200           19
  11044800           19
  11048400           19
  11052000           19
  11055600           19
  11059200           19
  11062800           19
  11066400           19
  11070000           19
  11073600           19
  11077200           19
  11080800           19
  11084400           19
  11088000           19
  11091600           19
  11095200           16
  11098800           16
  11102400           16
  11106000           16
  11109600           19
  11113200           19
  11116800           19
  11120400           19
  11124000           19
  11127600           19
  11131200           19
  11134800           19
  11138400           19
  11142000           19
  11145600           19
  11149200           19
  11152800           19
  11156400           19
  11160000           19
  11163600           19
  11167200           19
  11170800           19
  11174400           19
  11178000           19
  11181600           16
  11185200           16
  11188800           16
  11192400           16
  11196000           16
  11199600           16
  11203200           16
  11206800           16
  11210400           19
  11214000           19
  11217600           19
  11221200           19
  11224800           19
  11228400           19
  11232000           19
  11235600           19
  11239200           19
  11242800           19
  11246400           19
  11250000           19
  11253600           19
  11257200           19
  11260800           19
  11264400           19
  11268000           16
  11271600           16
  11275200           16
  11278800           16
  11282400           16
  11286000           16
  11289600           16
  11293200           16
  11296800           19
  11300400           19
  11304000           19
  11307600           19
  11311200           19
  11314800           19
  11318400           19
  11322000           19
  11325600           19
  11329200           19
  11332800           19
  11336400           19
  11340000           19
  11343600           19
  11347200           19
  11350800           19
  11354400           19
  11358000           19
  11361600           19
  11365200           19
  11368800           19
  11372400           19
  11376000           19
  11379600           19
  11383200           19
  11386800           19
  11390400           19
  11394000           19
  11397600           19
  11401200           19
  11404800           19
  11408400           19
  11412000           19
  11415600           19
  11419200           19
  11422800           19
  11426400           19
  11430000           19
  11433600           19
  11437200           19
  11440800           19
  11444400           19
  11448000           19
  11451600           19
  11455200           19
  11458800           19
  11462400           19
  11466000           19
  11469600           19
  11473200           19
  11476800           19
  11480400           19
  11484000           19
  11487600           19
  11491200           19
  11494800           19
  11498400           19
  11502000           19
  11505600           19
  11509200           19
  11512800           19
  11516400           19
  11520000           19
  11523600           19
  11527200           16
  11530800           16
  11534400           16
  11538000           16
  11541600           16
  11545200           16
  11548800           16
  11552400           16
  11556000           19
  11559600           19
  11563200           19
  11566800           19
  11570400           19
  11574000           19
  11577600           19
