#1	
double data(8760,2) #comment	
25588800	292.15
25592400	292.15
25596000	292.15
25599600	292.15
25603200	292.15
25606800	292.15
25610400	289.15
25614000	289.15
25617600	289.15
25621200	289.15
25624800	292.15
25628400	292.15
25632000	292.15
25635600	292.15
25639200	292.15
25642800	292.15
25646400	292.15
25650000	292.15
25653600	292.15
25657200	292.15
25660800	292.15
25664400	292.15
25668000	292.15
25671600	292.15
25675200	292.15
25678800	292.15
25682400	292.15
25686000	292.15
25689600	292.15
25693200	292.15
25696800	289.15
25700400	289.15
25704000	289.15
25707600	289.15
25711200	289.15
25714800	289.15
25718400	289.15
25722000	289.15
25725600	292.15
25729200	292.15
25732800	292.15
25736400	292.15
25740000	292.15
25743600	292.15
25747200	292.15
25750800	292.15
25754400	292.15
25758000	292.15
25761600	292.15
25765200	292.15
25768800	292.15
25772400	292.15
25776000	292.15
25779600	292.15
25783200	289.15
25786800	289.15
25790400	289.15
25794000	289.15
25797600	289.15
25801200	289.15
25804800	289.15
25808400	289.15
25812000	292.15
25815600	292.15
25819200	292.15
25822800	292.15
25826400	292.15
25830000	292.15
25833600	292.15
25837200	292.15
25840800	292.15
25844400	292.15
25848000	292.15
25851600	292.15
25855200	292.15
25858800	292.15
25862400	292.15
25866000	292.15
25869600	292.15
25873200	292.15
25876800	292.15
25880400	292.15
25884000	292.15
25887600	292.15
25891200	292.15
25894800	292.15
25898400	292.15
25902000	292.15
25905600	292.15
25909200	292.15
25912800	292.15
25916400	292.15
25920000	292.15
25923600	292.15
25927200	292.15
25930800	292.15
25934400	292.15
25938000	292.15
25941600	292.15
25945200	292.15
25948800	292.15
25952400	292.15
25956000	292.15
25959600	292.15
25963200	292.15
25966800	292.15
25970400	292.15
25974000	292.15
25977600	292.15
25981200	292.15
25984800	292.15
25988400	292.15
25992000	292.15
25995600	292.15
25999200	292.15
26002800	292.15
26006400	292.15
26010000	292.15
26013600	292.15
26017200	292.15
26020800	292.15
26024400	292.15
26028000	292.15
26031600	292.15
26035200	292.15
26038800	292.15
26042400	289.15
26046000	289.15
26049600	289.15
26053200	289.15
26056800	289.15
26060400	289.15
26064000	289.15
26067600	289.15
26071200	292.15
26074800	292.15
26078400	292.15
26082000	292.15
26085600	292.15
26089200	292.15
26092800	292.15
26096400	292.15
26100000	292.15
26103600	292.15
26107200	292.15
26110800	292.15
26114400	292.15
26118000	292.15
26121600	292.15
26125200	292.15
26128800	289.15
26132400	289.15
26136000	289.15
26139600	289.15
26143200	289.15
26146800	289.15
26150400	289.15
26154000	289.15
26157600	292.15
26161200	292.15
26164800	292.15
26168400	292.15
26172000	292.15
26175600	292.15
26179200	292.15
26182800	292.15
26186400	292.15
26190000	292.15
26193600	292.15
26197200	292.15
26200800	292.15
26204400	292.15
26208000	292.15
26211600	292.15
26215200	289.15
26218800	289.15
26222400	289.15
26226000	289.15
26229600	292.15
26233200	292.15
26236800	292.15
26240400	292.15
26244000	292.15
26247600	292.15
26251200	292.15
26254800	292.15
26258400	292.15
26262000	292.15
26265600	292.15
26269200	292.15
26272800	292.15
26276400	292.15
26280000	292.15
26283600	292.15
26287200	292.15
26290800	292.15
26294400	292.15
26298000	292.15
26301600	289.15
26305200	289.15
26308800	289.15
26312400	289.15
26316000	289.15
26319600	289.15
26323200	289.15
26326800	289.15
26330400	292.15
26334000	292.15
26337600	292.15
26341200	292.15
26344800	292.15
26348400	292.15
26352000	292.15
26355600	292.15
26359200	292.15
26362800	292.15
26366400	292.15
26370000	292.15
26373600	292.15
26377200	292.15
26380800	292.15
26384400	292.15
26388000	289.15
26391600	289.15
26395200	289.15
26398800	289.15
26402400	289.15
26406000	289.15
26409600	289.15
26413200	289.15
26416800	292.15
26420400	292.15
26424000	292.15
26427600	292.15
26431200	292.15
26434800	292.15
26438400	292.15
26442000	292.15
26445600	292.15
26449200	292.15
26452800	292.15
26456400	292.15
26460000	292.15
26463600	292.15
26467200	292.15
26470800	292.15
26474400	292.15
26478000	292.15
26481600	292.15
26485200	292.15
26488800	292.15
26492400	292.15
26496000	292.15
26499600	292.15
26503200	292.15
26506800	292.15
26510400	292.15
26514000	292.15
26517600	292.15
26521200	292.15
26524800	292.15
26528400	292.15
26532000	292.15
26535600	292.15
26539200	292.15
26542800	292.15
26546400	292.15
26550000	292.15
26553600	292.15
26557200	292.15
26560800	292.15
26564400	292.15
26568000	292.15
26571600	292.15
26575200	292.15
26578800	292.15
26582400	292.15
26586000	292.15
26589600	292.15
26593200	292.15
26596800	292.15
26600400	292.15
26604000	292.15
26607600	292.15
26611200	292.15
26614800	292.15
26618400	292.15
26622000	292.15
26625600	292.15
26629200	292.15
26632800	292.15
26636400	292.15
26640000	292.15
26643600	292.15
26647200	289.15
26650800	289.15
26654400	289.15
26658000	289.15
26661600	289.15
26665200	289.15
26668800	289.15
26672400	289.15
26676000	292.15
26679600	292.15
26683200	292.15
26686800	292.15
26690400	292.15
26694000	292.15
26697600	292.15
26701200	292.15
26704800	292.15
26708400	292.15
26712000	292.15
26715600	292.15
26719200	292.15
26722800	292.15
26726400	292.15
26730000	292.15
26733600	289.15
26737200	289.15
26740800	289.15
26744400	289.15
26748000	289.15
26751600	289.15
26755200	289.15
26758800	289.15
26762400	292.15
26766000	292.15
26769600	292.15
26773200	292.15
26776800	292.15
26780400	292.15
26784000	292.15
26787600	292.15
26791200	292.15
26794800	292.15
26798400	292.15
26802000	292.15
26805600	292.15
26809200	292.15
26812800	292.15
26816400	292.15
26820000	289.15
26823600	289.15
26827200	289.15
26830800	289.15
26834400	292.15
26838000	292.15
26841600	292.15
26845200	292.15
26848800	292.15
26852400	292.15
26856000	292.15
26859600	292.15
26863200	292.15
26866800	292.15
26870400	292.15
26874000	292.15
26877600	292.15
26881200	292.15
26884800	292.15
26888400	292.15
26892000	292.15
26895600	292.15
26899200	292.15
26902800	292.15
26906400	289.15
26910000	289.15
26913600	289.15
26917200	289.15
26920800	289.15
26924400	289.15
26928000	289.15
26931600	289.15
26935200	292.15
26938800	292.15
26942400	292.15
26946000	292.15
26949600	292.15
26953200	292.15
26956800	292.15
26960400	292.15
26964000	292.15
26967600	292.15
26971200	292.15
26974800	292.15
26978400	292.15
26982000	292.15
26985600	292.15
26989200	292.15
26992800	289.15
26996400	289.15
27000000	289.15
27003600	289.15
27007200	289.15
27010800	289.15
27014400	289.15
27018000	289.15
27021600	292.15
27025200	292.15
27028800	292.15
27032400	292.15
27036000	292.15
27039600	292.15
27043200	292.15
27046800	292.15
27050400	292.15
27054000	292.15
27057600	292.15
27061200	292.15
27064800	292.15
27068400	292.15
27072000	292.15
27075600	292.15
27079200	292.15
27082800	292.15
27086400	292.15
27090000	292.15
27093600	292.15
27097200	292.15
27100800	292.15
27104400	292.15
27108000	292.15
27111600	292.15
27115200	292.15
27118800	292.15
27122400	292.15
27126000	292.15
27129600	292.15
27133200	292.15
27136800	292.15
27140400	292.15
27144000	292.15
27147600	292.15
27151200	292.15
27154800	292.15
27158400	292.15
27162000	292.15
27165600	292.15
27169200	292.15
27172800	292.15
27176400	292.15
27180000	292.15
27183600	292.15
27187200	292.15
27190800	292.15
27194400	292.15
27198000	292.15
27201600	292.15
27205200	292.15
27208800	292.15
27212400	292.15
27216000	292.15
27219600	292.15
27223200	292.15
27226800	292.15
27230400	292.15
27234000	292.15
27237600	292.15
27241200	292.15
27244800	292.15
27248400	292.15
27252000	289.15
27255600	289.15
27259200	289.15
27262800	289.15
27266400	289.15
27270000	289.15
27273600	289.15
27277200	289.15
27280800	292.15
27284400	292.15
27288000	292.15
27291600	292.15
27295200	292.15
27298800	292.15
27302400	292.15
27306000	292.15
27309600	292.15
27313200	292.15
27316800	292.15
27320400	292.15
27324000	292.15
27327600	292.15
27331200	292.15
27334800	292.15
27338400	289.15
27342000	289.15
27345600	289.15
27349200	289.15
27352800	289.15
27356400	289.15
27360000	289.15
27363600	289.15
27367200	292.15
27370800	292.15
27374400	292.15
27378000	292.15
27381600	292.15
27385200	292.15
27388800	292.15
27392400	292.15
27396000	292.15
27399600	292.15
27403200	292.15
27406800	292.15
27410400	292.15
27414000	292.15
27417600	292.15
27421200	292.15
27424800	289.15
27428400	289.15
27432000	289.15
27435600	289.15
27439200	292.15
27442800	292.15
27446400	292.15
27450000	292.15
27453600	292.15
27457200	292.15
27460800	292.15
27464400	292.15
27468000	292.15
27471600	292.15
27475200	292.15
27478800	292.15
27482400	292.15
27486000	292.15
27489600	292.15
27493200	292.15
27496800	292.15
27500400	292.15
27504000	292.15
27507600	292.15
27511200	289.15
27514800	289.15
27518400	289.15
27522000	289.15
27525600	289.15
27529200	289.15
27532800	289.15
27536400	289.15
27540000	292.15
27543600	292.15
27547200	292.15
27550800	292.15
27554400	292.15
27558000	292.15
27561600	292.15
27565200	292.15
27568800	292.15
27572400	292.15
27576000	292.15
27579600	292.15
27583200	292.15
27586800	292.15
27590400	292.15
27594000	292.15
27597600	289.15
27601200	289.15
27604800	289.15
27608400	289.15
27612000	289.15
27615600	289.15
27619200	289.15
27622800	289.15
27626400	292.15
27630000	292.15
27633600	292.15
27637200	292.15
27640800	292.15
27644400	292.15
27648000	292.15
27651600	292.15
27655200	292.15
27658800	292.15
27662400	292.15
27666000	292.15
27669600	292.15
27673200	292.15
27676800	292.15
27680400	292.15
27684000	292.15
27687600	292.15
27691200	292.15
27694800	292.15
27698400	292.15
27702000	292.15
27705600	292.15
27709200	292.15
27712800	292.15
27716400	292.15
27720000	292.15
27723600	292.15
27727200	292.15
27730800	292.15
27734400	292.15
27738000	292.15
27741600	292.15
27745200	292.15
27748800	292.15
27752400	292.15
27756000	292.15
27759600	292.15
27763200	292.15
27766800	292.15
27770400	292.15
27774000	292.15
27777600	292.15
27781200	292.15
27784800	292.15
27788400	292.15
27792000	292.15
27795600	292.15
27799200	292.15
27802800	292.15
27806400	292.15
27810000	292.15
27813600	292.15
27817200	292.15
27820800	292.15
27824400	292.15
27828000	292.15
27831600	292.15
27835200	292.15
27838800	292.15
27842400	292.15
27846000	292.15
27849600	292.15
27853200	292.15
27856800	289.15
27860400	289.15
27864000	289.15
27867600	289.15
27871200	289.15
27874800	289.15
27878400	289.15
27882000	289.15
27885600	292.15
27889200	292.15
27892800	292.15
27896400	292.15
27900000	292.15
27903600	292.15
27907200	292.15
27910800	292.15
27914400	292.15
27918000	292.15
27921600	292.15
27925200	292.15
27928800	292.15
27932400	292.15
27936000	292.15
27939600	292.15
27943200	289.15
27946800	289.15
27950400	289.15
27954000	289.15
27957600	289.15
27961200	289.15
27964800	289.15
27968400	289.15
27972000	292.15
27975600	292.15
27979200	292.15
27982800	292.15
27986400	292.15
27990000	292.15
27993600	292.15
27997200	292.15
28000800	292.15
28004400	292.15
28008000	292.15
28011600	292.15
28015200	292.15
28018800	292.15
28022400	292.15
28026000	292.15
28029600	289.15
28033200	289.15
28036800	289.15
28040400	289.15
28044000	292.15
28047600	292.15
28051200	292.15
28054800	292.15
28058400	292.15
28062000	292.15
28065600	292.15
28069200	292.15
28072800	292.15
28076400	292.15
28080000	292.15
28083600	292.15
28087200	292.15
28090800	292.15
28094400	292.15
28098000	292.15
28101600	292.15
28105200	292.15
28108800	292.15
28112400	292.15
28116000	289.15
28119600	289.15
28123200	289.15
28126800	289.15
28130400	289.15
28134000	289.15
28137600	289.15
28141200	289.15
28144800	292.15
28148400	292.15
28152000	292.15
28155600	292.15
28159200	292.15
28162800	292.15
28166400	292.15
28170000	292.15
28173600	292.15
28177200	292.15
28180800	292.15
28184400	292.15
28188000	292.15
28191600	292.15
28195200	292.15
28198800	292.15
28202400	289.15
28206000	289.15
28209600	289.15
28213200	289.15
28216800	289.15
28220400	289.15
28224000	289.15
28227600	289.15
28231200	292.15
28234800	292.15
28238400	292.15
28242000	292.15
28245600	292.15
28249200	292.15
28252800	292.15
28256400	292.15
28260000	292.15
28263600	292.15
28267200	292.15
28270800	292.15
28274400	292.15
28278000	292.15
28281600	292.15
28285200	292.15
28288800	292.15
28292400	292.15
28296000	292.15
28299600	292.15
28303200	292.15
28306800	292.15
28310400	292.15
28314000	292.15
28317600	292.15
28321200	292.15
28324800	292.15
28328400	292.15
28332000	292.15
28335600	292.15
28339200	292.15
28342800	292.15
28346400	292.15
28350000	292.15
28353600	292.15
28357200	292.15
28360800	292.15
28364400	292.15
28368000	292.15
28371600	292.15
28375200	292.15
28378800	292.15
28382400	292.15
28386000	292.15
28389600	292.15
28393200	292.15
28396800	292.15
28400400	292.15
28404000	292.15
28407600	292.15
28411200	292.15
28414800	292.15
28418400	292.15
28422000	292.15
28425600	292.15
28429200	292.15
28432800	292.15
28436400	292.15
28440000	292.15
28443600	292.15
28447200	292.15
28450800	292.15
28454400	292.15
28458000	292.15
28461600	289.15
28465200	289.15
28468800	289.15
28472400	289.15
28476000	289.15
28479600	289.15
28483200	289.15
28486800	289.15
28490400	292.15
28494000	292.15
28497600	292.15
28501200	292.15
28504800	292.15
28508400	292.15
28512000	292.15
28515600	292.15
28519200	292.15
