#1	
double data1(17521,2)	# Comment
3792600	2107
3794400	2108
3796200	2109
3798000	2110
3799800	2111
3801600	2112
3803400	2113
3805200	2114
3807000	2115
3808800	2116
3810600	2117
3812400	2118
3814200	2119
3816000	2120
3817800	2121
3819600	2122
3821400	2123
3823200	2124
3825000	2125
3826800	2126
3828600	2127
3830400	2128
3832200	2129
3834000	2130
3835800	2131
3837600	2132
3839400	2133
3841200	2134
3843000	2135
3844800	2136
3846600	2137
3848400	2138
3850200	2139
3852000	2140
3853800	2141
3855600	2142
3857400	2143
3859200	2144
3861000	2145
3862800	2146
3864600	2147
3866400	2148
3868200	2149
3870000	2150
3871800	2151
3873600	2152
3875400	2153
3877200	2154
3879000	2155
3880800	2156
3882600	2157
3884400	2158
3886200	2159
3888000	2160
3889800	2161
3891600	2162
3893400	2163
3895200	2164
3897000	2165
3898800	2166
3900600	2167
3902400	2168
3904200	2169
3906000	2170
3907800	2171
3909600	2172
3911400	2173
3913200	2174
3915000	2175
3916800	2176
3918600	2177
3920400	2178
3922200	2179
3924000	2180
3925800	2181
3927600	2182
3929400	2183
3931200	2184
3933000	2185
3934800	2186
3936600	2187
3938400	2188
3940200	2189
3942000	2190
3943800	2191
3945600	2192
3947400	2193
3949200	2194
3951000	2195
3952800	2196
3954600	2197
3956400	2198
3958200	2199
3960000	2200
3961800	2201
3963600	2202
3965400	2203
3967200	2204
3969000	2205
3970800	2206
3972600	2207
3974400	2208
3976200	2209
3978000	2210
3979800	2211
3981600	2212
3983400	2213
3985200	2214
3987000	2215
3988800	2216
3990600	2217
3992400	2218
3994200	2219
3996000	2220
3997800	2221
3999600	2222
4001400	2223
4003200	2224
4005000	2225
4006800	2226
4008600	2227
4010400	2228
4012200	2229
4014000	2230
4015800	2231
4017600	2232
4019400	2233
4021200	2234
4023000	2235
4024800	2236
4026600	2237
4028400	2238
4030200	2239
4032000	2240
4033800	2241
4035600	2242
4037400	2243
4039200	2244
4041000	2245
4042800	2246
4044600	2247
4046400	2248
4048200	2249
4050000	2250
4051800	2251
4053600	2252
4055400	2253
4057200	2254
4059000	2255
4060800	2256
4062600	2257
4064400	2258
4066200	2259
4068000	2260
4069800	2261
4071600	2262
4073400	2263
4075200	2264
4077000	2265
4078800	2266
4080600	2267
4082400	2268
4084200	2269
4086000	2270
4087800	2271
4089600	2272
4091400	2273
4093200	2274
4095000	2275
4096800	2276
4098600	2277
4100400	2278
4102200	2279
4104000	2280
4105800	2281
4107600	2282
4109400	2283
4111200	2284
4113000	2285
4114800	2286
4116600	2287
4118400	2288
4120200	2289
4122000	2290
4123800	2291
4125600	2292
4127400	2293
4129200	2294
4131000	2295
4132800	2296
4134600	2297
4136400	2298
4138200	2299
4140000	2300
4141800	2301
4143600	2302
4145400	2303
4147200	2304
4149000	2305
4150800	2306
4152600	2307
4154400	2308
4156200	2309
4158000	2310
4159800	2311
4161600	2312
4163400	2313
4165200	2314
4167000	2315
4168800	2316
4170600	2317
4172400	2318
4174200	2319
4176000	2320
4177800	2321
4179600	2322
4181400	2323
4183200	2324
4185000	2325
4186800	2326
4188600	2327
4190400	2328
4192200	2329
4194000	2330
4195800	2331
4197600	2332
4199400	2333
4201200	2334
4203000	2335
4204800	2336
4206600	2337
4208400	2338
4210200	2339
4212000	2340
4213800	2341
4215600	2342
4217400	2343
4219200	2344
4221000	2345
4222800	2346
4224600	2347
4226400	2348
4228200	2349
4230000	2350
4231800	2351
4233600	2352
4235400	2353
4237200	2354
4239000	2355
4240800	2356
4242600	2357
4244400	2358
4246200	2359
4248000	2360
4249800	2361
4251600	2362
4253400	2363
4255200	2364
4257000	2365
4258800	2366
4260600	2367
4262400	2368
4264200	2369
4266000	2370
4267800	2371
4269600	2372
4271400	2373
4273200	2374
4275000	2375
4276800	2376
4278600	2377
4280400	2378
4282200	2379
4284000	2380
4285800	2381
4287600	2382
4289400	2383
4291200	2384
4293000	2385
4294800	2386
4296600	2387
4298400	2388
4300200	2389
4302000	2390
4303800	2391
4305600	2392
4307400	2393
4309200	2394
4311000	2395
4312800	2396
4314600	2397
4316400	2398
4318200	2399
4320000	2400
4321800	2401
4323600	2402
4325400	2403
4327200	2404
4329000	2405
4330800	2406
4332600	2407
4334400	2408
4336200	2409
4338000	2410
4339800	2411
4341600	2412
4343400	2413
4345200	2414
4347000	2415
4348800	2416
4350600	2417
4352400	2418
4354200	2419
4356000	2420
4357800	2421
4359600	2422
4361400	2423
4363200	2424
